condition,incident_id,family,depth,provenance,edge_loss,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_fhir_reads,oh_model_calls,oh_replays,oh_writes,n_true_contaminated,n_neutralised,n_touched,n_clean,n_retained,n_repaired,n_followups,n_wrong_followups,oh_wall_seconds,oh_capsules,oh_capsule_bytes,oh_rounds
F,INC-F3-T-ID-03-d2-complete-s0,F3,2,complete,0.0,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,5,4,0,0,2,0,0.0762,18.0,14453.0,2.0
G,INC-F3-T-ID-03-d2-complete-s0,F3,2,complete,0.0,0.0,1.0,0.5,0.75,1.0,0.0,1.0,1.0,0,0,0,0,1,1,2,4,3,0,2,0,,,,
H,INC-F3-T-ID-03-d2-complete-s0,F3,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,2,1,1,1,1,1,4,4,1,2,0,,,,
I,INC-F3-T-ID-03-d2-complete-s0,F3,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,10,6,1,1,1,1,4,4,1,2,0,0.065,6.0,4810.0,2.0
A,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,1,0,0,4,4,0,2,0,,,,
B,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2,1.0,0,0,0,0,1,0,0,4,4,0,2,0,,,,
C,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.0,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,5,4,0,0,2,0,,,,
D,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2,0.0,0,0,0,0,1,0,0,4,4,0,2,0,0.0174,3.0,2424.0,1.0
E,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2,0.0,0,0,0,0,1,0,0,4,4,0,2,0,0.0133,3.0,2424.0,1.0
F,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,5,4,0,0,2,0,0.0772,18.0,14480.0,2.0
G,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.0,1.0,0.5,0.75,1.0,0.0,1.0,1.0,0,0,0,0,1,1,2,4,3,0,2,0,,,,
H,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,2,1,1,1,1,1,4,4,1,2,0,,,,
I,INC-F3-T-ID-03-d2-random40-s0,F3,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,10,6,1,1,1,1,4,4,1,2,0,0.0624,6.0,4844.0,2.0
A,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,1,0,0,4,4,0,2,0,,,,
B,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2,1.0,0,0,0,0,1,0,0,4,4,0,2,0,,,,
C,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,5,4,0,0,2,0,,,,
D,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2,1,0,1,1,1,4,4,0,2,0,0.0372,6.0,4826.0,2.0
E,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6,4,2,1,1,1,1,4,4,1,2,0,0.0395,6.0,4826.0,2.0
F,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,5,4,0,0,2,0,0.0853,18.0,14461.0,2.0
G,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,0.5,0.75,1.0,0.0,1.0,1.0,0,0,0,0,1,1,2,4,3,0,2,0,,,,
H,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,2,1,1,1,1,1,4,4,1,2,0,,,,
I,INC-F3-T-ID-03-d2-targeted-s0,F3,2,targeted,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,10,6,1,1,1,1,4,4,1,2,0,0.0558,6.0,4826.0,2.0
A,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.375,1.0,0,0,0,0,2,0,0,5,5,0,2,0,,,,
B,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2857142857142857,1.0,0,0,0,0,2,0,0,5,5,0,2,0,,,,
C,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,7,5,0,0,2,0,,,,
D,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7,4,2,0,2,2,2,5,5,0,2,0,0.0611,9.0,7209.0,2.0
E,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,7,4,2,2,2,2,5,5,2,2,0,0.0617,9.0,7209.0,2.0
F,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,7,5,0,0,2,0,0.1142,24.0,19242.0,2.0
G,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,0.6666666666666666,0.8,1.0,0.0,1.0,1.0,0,0,0,0,2,2,3,5,4,0,2,0,,,,
H,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5,3,2,2,2,2,2,5,5,2,2,0,,,,
I,INC-F3-T-ID-03-d3-complete-s0,F3,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,15,9,2,2,2,2,5,5,2,2,0,0.0913,9.0,7209.0,2.0
A,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.375,1.0,0,0,0,0,2,0,0,5,5,0,2,0,,,,
B,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2857142857142857,1.0,0,0,0,0,2,0,0,5,5,0,2,0,,,,
C,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,7,5,0,0,2,0,,,,
D,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.16666666666666666,0.0,3,2,1,0,2,1,1,5,5,0,2,0,0.0373,6.0,4807.0,2.0
E,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.14285714285714285,0.0,6,4,2,1,2,1,1,5,5,1,2,0,0.04,6.0,4807.0,2.0
F,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,7,5,0,0,2,0,0.1302,24.0,19278.0,2.0
G,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8,1.0,0.0,1.0,1.0,0,0,0,0,2,2,3,5,4,0,2,0,,,,
H,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5,3,2,2,2,2,2,5,5,2,2,0,,,,
I,INC-F3-T-ID-03-d3-random40-s0,F3,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,15,9,2,2,2,2,5,5,2,2,0,0.1079,9.0,7214.0,2.0
A,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.375,1.0,0,0,0,0,2,0,0,5,5,0,2,0,,,,
B,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.2857142857142857,1.0,0,0,0,0,2,0,0,5,5,0,2,0,,,,
C,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,7,5,0,0,2,0,,,,
D,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.16666666666666666,0.0,3,2,1,0,2,1,1,5,5,0,2,0,0.0362,6.0,4818.0,2.0
E,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.14285714285714285,0.0,6,4,2,1,2,1,1,5,5,1,2,0,0.0359,6.0,4818.0,2.0
F,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,7,5,0,0,2,0,0.1102,24.0,19253.0,2.0
G,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8,1.0,0.0,1.0,1.0,0,0,0,0,2,2,3,5,4,0,2,0,,,,
H,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5,3,2,2,2,2,2,5,5,2,2,0,,,,
I,INC-F3-T-ID-03-d3-targeted-s0,F3,3,targeted,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,15,9,2,2,2,2,5,5,2,2,0,0.0915,9.0,7220.0,2.0
A,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,6,3,0,3,3,3,6,6,0,2,0,0.0671,12.0,9611.0,3.0
E,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,10,6,3,3,3,3,6,6,3,2,0,0.0816,12.0,9611.0,3.0
F,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.1361,30.0,24027.0,2.0
G,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-03-d4-complete-s0,F3,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.1093,12.0,9611.0,2.0
A,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0161,3.0,2402.0,1.0
E,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0,0,0,0,3,0,0,6,6,0,2,0,0.0131,3.0,2402.0,1.0
F,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.1825,30.0,24035.0,2.0
G,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-03-d4-random40-s0,F3,4,random40,0.375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.1254,12.0,9591.0,2.0
A,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.4,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
B,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,0,0,0,0,3,0,0,6,6,0,2,0,,,,
C,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3,3,9,6,0,0,2,0,,,,
D,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.25,0.0,3,2,1,0,3,1,1,6,6,0,2,0,0.0349,6.0,4803.0,2.0
E,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.2222222222222222,0.0,6,4,2,1,3,1,1,6,6,1,2,0,0.0364,6.0,4803.0,2.0
F,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0,0,0,0,3,3,9,6,0,0,2,0,0.1305,30.0,24028.0,2.0
G,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,0.75,0.8333333333333334,1.0,0.0,1.0,1.0,0,0,0,0,3,3,4,6,5,0,2,0,,,,
H,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6,4,3,3,3,3,3,6,6,3,2,0,,,,
I,INC-F3-T-ID-03-d4-targeted-s0,F3,4,targeted,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,20,12,3,3,3,3,6,6,3,2,0,0.1116,12.0,9604.0,2.0
A,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2,1,0,1,1,1,6,6,0,2,0,0.0442,6.0,4846.0,2.0
E,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,4,2,1,1,1,1,6,6,1,2,0,0.0439,6.0,4846.0,2.0
F,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.086,12.0,9691.0,2.0
G,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-complete-s0,F4,3,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0634,6.0,4846.0,2.0
A,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0197,3.0,2402.0,1.0
E,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0165,3.0,2402.0,1.0
F,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0757,12.0,9599.0,2.0
G,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-random40-s0,F4,3,random40,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0692,6.0,4809.0,2.0
A,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
B,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,6,6,0,2,0,,,,
C,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,7,6,0,0,2,0,,,,
D,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0179,3.0,2419.0,1.0
E,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,6,6,0,2,0,0.0154,3.0,2419.0,1.0
F,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0,0,0,0,1,1,3,6,4,0,2,0,0.0799,12.0,9662.0,2.0
G,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1.0,0,0,0,0,1,1,3,6,4,0,2,0,,,,
H,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,6,6,1,2,0,,,,
I,INC-F4-T-ID-04-d3-targeted-s0,F4,3,targeted,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,8,4,1,1,1,1,6,6,1,2,0,0.0577,6.0,4839.0,2.0
A,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,8,8,0,2,0,,,,
B,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,8,8,0,2,0,,,,
C,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,9,8,0,0,2,0,,,,
D,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,0.5,0.875,1.0,0.0,0.0,0.0,7,4,2,0,1,1,2,8,7,0,2,0,0.0469,9.0,7230.0,3.0
E,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,12,7,4,2,1,1,2,8,8,2,2,0,0.0502,9.0,7230.0,3.0
F,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,0.2,0.5,1.0,0.0,0.0,0.0,0,0,0,0,1,1,5,8,4,0,2,0,0.11,18.0,14465.0,2.0
G,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,0.25,0.625,1.0,0.0,1.0,1.0,0,0,0,0,1,1,4,8,5,0,2,0,,,,
H,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,8,8,1,2,0,,,,
I,INC-F4-T-ID-04-d4-complete-s0,F4,4,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,12,6,1,1,1,1,8,8,1,2,0,0.0629,6.0,4825.0,2.0
A,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,8,8,0,2,0,,,,
B,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,8,8,0,2,0,,,,
C,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,9,8,0,0,2,0,,,,
D,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,8,8,0,2,0,0.0207,3.0,2407.0,1.0
E,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,8,8,0,2,0,0.0173,3.0,2407.0,1.0
F,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,1.0,0.2,0.5,1.0,0.0,0.0,0.0,0,0,0,0,1,1,5,8,4,0,2,0,0.1031,18.0,14438.0,2.0
G,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,1.0,0.25,0.625,1.0,0.0,1.0,1.0,0,0,0,0,1,1,4,8,5,0,2,0,,,,
H,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4,2,1,1,1,1,1,8,8,1,2,0,,,,
I,INC-F4-T-ID-04-d4-random40-s0,F4,4,random40,0.375,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,12,6,1,1,1,1,8,8,1,2,0,0.0637,6.0,4815.0,2.0
A,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,8,8,0,2,0,,,,
B,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,1,0,0,8,8,0,2,0,,,,
C,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,1.0,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0,0,0,0,1,1,9,8,0,0,2,0,,,,
D,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,8,8,0,2,0,0.0313,3.0,2404.0,1.0
E,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,8,8,0,2,0,0.0157,3.0,2404.0,1.0
F,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,1.0,0.2,0.5,1.0,0.0,0.0,0.0,0,0,0,0,1,1,5,8,4,0,2,0,0.1293,18.0,14369.0,2.0
G,INC-F4-T-ID-04-d4-targeted-s0,F4,4,targeted,0.75,0.0,1.0,0.25,0.625,1.0,0.0,1.0,1.0,0,0,0,0,1,1,4,8,5,0,2,0,,,,
